1	0.372	349
2	1.55	349
3	1.772	344
4	2.106	349
5	2.866	358
6	3.125	362
7	3.312	358
8	3.5	349
9	3.737	344
10	3.95	349
11	5.102	358
12	5.337	362
13	5.525	358
14	5.737	349
15	5.959	344
16	6.172	332
17	6.425	327
18	6.95	358
19	7.35	349
20	7.537	344
21	7.853	344
22	8.041	332
23	8.285	332
24	8.487	327
25	8.675	327
26	10.694	327
27	11.162	336
28	11.4	318
29	11.617	327
30	11.849	313
31	12.081	318
32	12.298	305
33	12.519	296
34	12.792	313
35	13.3	318
36	13.892	327
37	14.42	332
38	14.657	327
39	14.837	318
40	15.35	327
41	15.825	332
42	16.051	327
43	16.248	358
44	16.487	349
45	16.753	349
46	17.008	344
47	17.514	332
48	17.734	344
49	17.926	332
50	18.164	332
51	18.35	327
54	18.605	327
