0.6443356	1
1.1933356	2
2.7173356	3
3.6313356	4
4.6183356	5
5.1983356	6
6.1123356	7
6.4463356	8
6.8373356	9
7.1433356	10
7.3313356	11
7.6223356	12
8.9723356	14
9.4873356	15
9.9873356	16
10.4723356	17
11.0383356	18
11.2213356	19
11.5263356	20
11.7153356	21
11.9903356	22
12.1963356	23
12.4173356	24
14.2983356	25
14.6313356	26
14.7763356	27
15.3713356	28
15.6913356	29
15.8213356	30
16.7473356	32
17.3163356	33
17.6323356	34
18.2163356	35
18.7673356	36
19.0723356	37
19.3303356	38
19.6093356	39
19.8553356	40
20.1173356	41
20.4513356	42
21.4673356	43
21.7133356	44
21.9753356	45
22.2353356	46
22.4973356	47
22.7873356	48
23.0203356	49
