0.392	1
1.418	2
2.239	3
2.665	4
3.111	5
3.335	6
3.559	7
3.783	8
4.007	9
4.344	11
4.455	12
5.425	13
5.873	14
6.299	15
6.746	16
7.194	17
8.111	18
8.559	19
8.91	20
9.358	21
10.022	22
10.254	23
10.701	24
11.597	26
11.814	27
12.037	28
12.493	29
12.941	30
13.389	31
13.604	32
13.828	33
14.731	34
15.396	35
15.62	36
16.075	37
16.522	38
17.194	39
17.41	40
17.866	41
18.314	42
18.985	43
19.201	44
19.656	45
19.91	47
20.022	48
20.552	49
21.418	50
22.239	51
23.134	52
23.582	53
24.552	54
25.022	55
25.477	56
26.045	57
26.373	58
27.037	59
27.269	60
